doc_id,doc_truthfulness_value
senate-majority-pac-releases-misleading-tv-ad-agai,10
some-democrats-did-and-some-did-not-weigh-madison-,10
some-private-health-insurance-can-surviv,10
some-teachouts-donors-also-gave-super-pacs,10
state-crime-lab-doing-less-testing-and-generally-t,10
suozzi-calling-hochul-interim-governor-s-misleadin,10
susan-collins-says-year-overwhelming-majority-new-,10
tax-shift-lou-greenwald-sets-truth-o-meter-ablaze-,10
tulsi-gabbard-falsely-claims-us-not-so-different-r,10
virginia-975-abortions-occur-15-weeks-pregnancy-or,10
virginia-blacks-eight-times-more-likely-whites-be-,10
warren-wades-debate-health-care-costs-and-bankrupt,10
warrens-argument-millions-cant-afford-their-rx-dru,10
whitmer-touts-growth-auto-industry-jobs-data-doesn,10
wis-gov-evers-didnt-cause-slowdown-state-crime-lab,10
yang-cites-maternal-mortality-stats-talk-about-rac,10
yes-democrats-do-need-more-majority-codify-roe-vs-,10
yes-inflation-40-year-high-and-rates-have-been-cli,10
yes-its-true-cannabis-reform-supported-wisconsin-i,10
yes-tax-break-ron-johnson-pushed-2017-has-benefite,10
yes-trump-justices-said-roe-v-wade-was-precedent-c,10
yes-wisconsins-abortion-law-older-20-us-states,10
